word|partOfSpeech|chineseMeaning|synonyms|exampleSentence|source
meticulous|adj.|一丝不苟的|careful,precise,fastidious|Meticulous records made the later audit straightforward.|GRE Glance original development dataset
mitigate|v.|缓解|alleviate,lessen,ease|Shade trees can mitigate extreme heat in dense neighborhoods.|GRE Glance original development dataset
mollify|v.|安抚|appease,pacify,soothe|A sincere apology helped mollify the offended guests.|GRE Glance original development dataset
morose|adj.|阴郁的|gloomy,sullen,glum|He became morose after the expedition was canceled.|GRE Glance original development dataset
mundane|adj.|平凡的|ordinary,routine,prosaic|The diary turns mundane errands into sharp observations about city life.|GRE Glance original development dataset
munificent|adj.|慷慨的|generous,bountiful,lavish|A munificent donation secured the archive's future.|GRE Glance original development dataset
myopic|adj.|目光短浅的|shortsighted,narrow,unforesighted|The myopic policy reduced immediate costs while increasing future risk.|GRE Glance original development dataset
nascent|adj.|初现的|emerging,incipient,budding|The city invested early in its nascent technology sector.|GRE Glance original development dataset
nebulous|adj.|模糊不清的|vague,hazy,indefinite|The proposal's goals remained nebulous even after several revisions.|GRE Glance original development dataset
neophyte|n.|新手|novice,beginner,apprentice|Even a neophyte could follow the guide's clear instructions.|GRE Glance original development dataset
nuanced|adj.|细致入微的|subtle,refined,sophisticated|The biography presents a nuanced portrait rather than a simple tribute.|GRE Glance original development dataset
obdurate|adj.|顽固的|stubborn,unyielding,inflexible|The board remained obdurate despite overwhelming public opposition.|GRE Glance original development dataset
obfuscate|v.|使模糊；混淆|confuse,obscure,muddle|Technical jargon should not obfuscate a straightforward finding.|GRE Glance original development dataset
obsequious|adj.|谄媚的|servile,sycophantic,fawning|The manager distrusted the assistant's obsequious praise.|GRE Glance original development dataset
obsolete|adj.|过时的|outdated,antiquated,defunct|Digital records made the old indexing system obsolete.|GRE Glance original development dataset
obstinate|adj.|固执的|stubborn,inflexible,headstrong|An obstinate refusal to revise the plan caused avoidable delays.|GRE Glance original development dataset
orthodox|adj.|正统传统的|conventional,traditional,accepted|Her interpretation challenges the orthodox account of the uprising.|GRE Glance original development dataset
ostentatious|adj.|炫耀的|showy,pretentious,gaudy|The building's ostentatious lobby contrasted with its cramped offices.|GRE Glance original development dataset
paradox|n.|悖论|contradiction,enigma,inconsistency|The policy created a paradox: greater access produced longer waits.|GRE Glance original development dataset
paragon|n.|典范|model,exemplar,ideal|The article treats the cooperative as a paragon of transparent governance.|GRE Glance original development dataset
parsimonious|adj.|吝啬的；过度节省的|miserly,stingy,frugal|A parsimonious budget left no room for essential maintenance.|GRE Glance original development dataset
partisan|adj.|党派性的；偏袒的|biased,factional,one-sided|The commission sought evidence beyond partisan talking points.|GRE Glance original development dataset
paucity|n.|缺乏；少量|scarcity,dearth,shortage|A paucity of long-term data limits the study's conclusions.|GRE Glance original development dataset
pedantic|adj.|卖弄学问的；拘泥细节的|doctrinaire,bookish,overprecise|The guide is precise without becoming pedantic.|GRE Glance original development dataset
penchant|n.|偏爱|inclination,liking,predilection|She has a penchant for finding elegant solutions to mundane problems.|GRE Glance original development dataset
perfidy|n.|背信弃义|treachery,betrayal,duplicity|The drama centers on political perfidy and its personal cost.|GRE Glance original development dataset
perfunctory|adj.|敷衍的|cursory,superficial,routine|A perfunctory apology did little to restore trust.|GRE Glance original development dataset
pernicious|adj.|有害的|harmful,destructive,malignant|The report documents the pernicious effects of persistent misinformation.|GRE Glance original development dataset
perspicacious|adj.|洞察力强的|perceptive,astute,discerning|A perspicacious reviewer noticed the hidden assumption immediately.|GRE Glance original development dataset
pervasive|adj.|普遍深入的|widespread,ubiquitous,prevalent|A pervasive sense of uncertainty shaped the election.|GRE Glance original development dataset
phlegmatic|adj.|冷静不动感情的|calm,stoic,unflappable|The phlegmatic captain remained composed during the emergency.|GRE Glance original development dataset
pithy|adj.|简洁有力的|concise,terse,succinct|Her pithy summary captured the argument better than the long report.|GRE Glance original development dataset
placate|v.|安抚|appease,pacify,mollify|Officials offered refunds to placate frustrated passengers.|GRE Glance original development dataset
plausible|adj.|貌似合理的|credible,believable,reasonable|The hypothesis is plausible but still lacks direct evidence.|GRE Glance original development dataset
polemical|adj.|争辩性的|controversial,argumentative,contentious|The book is openly polemical yet carefully documented.|GRE Glance original development dataset
pragmatic|adj.|务实的|practical,realistic,expedient|They chose a pragmatic solution that could be implemented quickly.|GRE Glance original development dataset
precarious|adj.|不稳定危险的|unstable,insecure,perilous|The climbers crossed the river on a precarious wooden bridge.|GRE Glance original development dataset
precipitate|v.|促使；使突然发生|trigger,hasten,provoke|A sudden rate increase could precipitate a wider downturn.|GRE Glance original development dataset
preclude|v.|排除；阻止|prevent,bar,forestall|Limited evidence does not preclude further investigation.|GRE Glance original development dataset
prescient|adj.|有先见之明的|foresighted,prophetic,farseeing|Her prescient warning anticipated the supply crisis by several years.|GRE Glance original development dataset
pretentious|adj.|自命不凡的|pompous,affected,ostentatious|The restaurant's pretentious menu described simple dishes in grand terms.|GRE Glance original development dataset
prodigal|adj.|挥霍的|wasteful,lavish,extravagant|Prodigal spending exhausted the grant before the project was complete.|GRE Glance original development dataset
prolific|adj.|多产的|productive,fertile,abundant|The prolific historian published more than thirty carefully researched books.|GRE Glance original development dataset
proliferate|v.|迅速增多|multiply,spread,burgeon|Unverified copies of the document began to proliferate online.|GRE Glance original development dataset
propensity|n.|倾向|inclination,tendency,predisposition|The material has a propensity to crack under sudden pressure.|GRE Glance original development dataset
prosaic|adj.|平淡乏味的|mundane,ordinary,unimaginative|The explanation is prosaic, but it fits the evidence.|GRE Glance original development dataset
prudent|adj.|谨慎明智的|wise,cautious,judicious|It would be prudent to preserve a copy of the raw data.|GRE Glance original development dataset
querulous|adj.|爱抱怨的|complaining,petulant,whiny|The querulous customer rejected every proposed solution.|GRE Glance original development dataset
quiescent|adj.|静止休眠的|dormant,inactive,still|The volcano has remained quiescent for more than a century.|GRE Glance original development dataset
quixotic|adj.|不切实际的理想主义的|idealistic,impractical,romantic|The plan was generous in spirit but quixotic in scale.|GRE Glance original development dataset
rancor|n.|怨恨|bitterness,resentment,animosity|Years of rancor made even routine negotiations difficult.|GRE Glance original development dataset
recalcitrant|adj.|桀骜不驯的|defiant,obstinate,uncooperative|The recalcitrant agency ignored repeated orders to release the records.|GRE Glance original development dataset
refute|v.|反驳；证明错误|disprove,rebut,debunk|The new evidence refutes the claim that the decline was inevitable.|GRE Glance original development dataset
relegate|v.|降级；置于次要地位|demote,consign,downgrade|The redesign should not relegate accessibility to an afterthought.|GRE Glance original development dataset
resilient|adj.|有韧性的|robust,adaptable,buoyant|The resilient community rebuilt its market after the flood.|GRE Glance original development dataset
reticent|adj.|沉默寡言的|reserved,taciturn,restrained|Normally reticent, she spoke at length about the failed policy.|GRE Glance original development dataset
reverent|adj.|恭敬的|respectful,devout,solemn|The documentary is reverent without becoming uncritical.|GRE Glance original development dataset
rudimentary|adj.|初步的；基础的|basic,elementary,primitive|The shelter provided only rudimentary protection from the cold.|GRE Glance original development dataset
sagacious|adj.|睿智的|wise,shrewd,perspicacious|A sagacious mentor urged the team to test its assumptions first.|GRE Glance original development dataset
salubrious|adj.|有益健康的|healthful,wholesome,beneficial|They moved to a quieter district with a more salubrious climate.|GRE Glance original development dataset
sanction|v.|批准；制裁|authorize,approve,penalize|The board must sanction any change to the research protocol.|GRE Glance original development dataset
sanguine|adj.|乐观自信的|optimistic,hopeful,buoyant|Analysts remained sanguine despite a weak first quarter.|GRE Glance original development dataset
scant|adj.|不足的|meager,scarce,insufficient|The conclusion rests on scant evidence from a narrow sample.|GRE Glance original development dataset
scrupulous|adj.|严谨正直的|meticulous,conscientious,principled|She was scrupulous about separating fact from speculation.|GRE Glance original development dataset
seminal|adj.|开创性的|influential,pioneering,formative|The scientist's seminal paper reshaped the field.|GRE Glance original development dataset
skeptical|adj.|怀疑的|doubtful,questioning,dubious|Reviewers were skeptical of results that could not be replicated.|GRE Glance original development dataset
solicitous|adj.|关切周到的|attentive,concerned,considerate|The nurse was solicitous without being intrusive.|GRE Glance original development dataset
sporadic|adj.|零星发生的|intermittent,occasional,irregular|Sporadic outages continued after the main repair.|GRE Glance original development dataset
spurious|adj.|虚假的|false,bogus,counterfeit|The article drew a spurious connection between unrelated trends.|GRE Glance original development dataset
steadfast|adj.|坚定的|resolute,unwavering,constant|She remained steadfast in her support for independent review.|GRE Glance original development dataset
stolid|adj.|不动感情的|impassive,stoic,unemotional|The stolid guard showed no reaction to the commotion.|GRE Glance original development dataset
stringent|adj.|严格的|rigorous,strict,exacting|The laboratory adopted stringent rules for handling samples.|GRE Glance original development dataset
substantiate|v.|证实|verify,corroborate,confirm|The author provides no records to substantiate the allegation.|GRE Glance original development dataset
subtle|adj.|微妙的|nuanced,delicate,understated|A subtle shift in tone changes the final scene's meaning.|GRE Glance original development dataset
succinct|adj.|简明的|concise,terse,pithy|Her succinct summary gave the board enough context to decide.|GRE Glance original development dataset
superfluous|adj.|多余的|unnecessary,extraneous,redundant|The editor removed three superfluous paragraphs.|GRE Glance original development dataset
surreptitious|adj.|偷偷摸摸的|secret,clandestine,covert|A surreptitious recording revealed the private agreement.|GRE Glance original development dataset
taciturn|adj.|沉默寡言的|reticent,reserved,uncommunicative|The taciturn mechanic answered every question in a few words.|GRE Glance original development dataset
temerity|n.|鲁莽大胆|audacity,boldness,nerve|She had the temerity to challenge a rule everyone else accepted.|GRE Glance original development dataset
tenacious|adj.|坚持不懈的|persistent,determined,dogged|Tenacious reporting eventually uncovered the missing contracts.|GRE Glance original development dataset
tenuous|adj.|薄弱的|weak,slender,fragile|The evidence offers only a tenuous link between the two events.|GRE Glance original development dataset
tirade|n.|长篇怒斥|diatribe,harangue,rant|The meeting ended with a tirade against minor procedural changes.|GRE Glance original development dataset
torpor|n.|迟钝；无精打采|lethargy,inertia,dormancy|The organization emerged from years of torpor under new leadership.|GRE Glance original development dataset
tractable|adj.|易处理的；温顺的|manageable,amenable,docile|Dividing the problem into smaller parts made it tractable.|GRE Glance original development dataset
transient|adj.|短暂的|temporary,ephemeral,fleeting|The apparent improvement proved transient.|GRE Glance original development dataset
trenchant|adj.|尖锐有力的|incisive,penetrating,forceful|Her trenchant critique exposed the model's weakest assumption.|GRE Glance original development dataset
ubiquitous|adj.|无处不在的|omnipresent,pervasive,widespread|Smart sensors have become ubiquitous in modern factories.|GRE Glance original development dataset
unassailable|adj.|无可反驳的|indisputable,impregnable,incontrovertible|The timestamp provided an unassailable alibi.|GRE Glance original development dataset
undermine|v.|削弱|weaken,erode,sabotage|Secret exceptions undermine confidence in otherwise fair rules.|GRE Glance original development dataset
underscore|v.|强调|emphasize,highlight,stress|The failure underscores the need for independent backups.|GRE Glance original development dataset
unequivocal|adj.|明确无疑的|unambiguous,definite,explicit|The panel issued an unequivocal rejection of the proposal.|GRE Glance original development dataset
urbane|adj.|温文尔雅的|sophisticated,courteous,polished|The urbane host moved easily among guests with opposing views.|GRE Glance original development dataset
vacillate|v.|犹豫不定|waver,hesitate,fluctuate|Leaders cannot vacillate indefinitely when safety is at risk.|GRE Glance original development dataset
venerable|adj.|德高望重的；古老的|respected,august,esteemed|The venerable institution opened its archives to the public.|GRE Glance original development dataset
venerate|v.|尊敬崇拜|revere,honor,esteem|Students venerate the poet but still debate her politics.|GRE Glance original development dataset
veracity|n.|真实性；诚实|truthfulness,accuracy,candor|Investigators questioned the veracity of the anonymous account.|GRE Glance original development dataset
verbose|adj.|冗长的|wordy,prolix,loquacious|The verbose report hides a simple recommendation.|GRE Glance original development dataset
viable|adj.|可行的|feasible,workable,practical|The pilot suggests that the approach is commercially viable.|GRE Glance original development dataset
vigilant|adj.|警觉的|watchful,alert,attentive|Operators must remain vigilant during the entire test.|GRE Glance original development dataset
vindicate|v.|证明正确；洗清|justify,exonerate,validate|Later evidence vindicated her decision to delay the launch.|GRE Glance original development dataset
virulent|adj.|剧毒的；恶意的|toxic,malignant,vicious|The campaign faced a virulent stream of false accusations.|GRE Glance original development dataset
visceral|adj.|本能强烈的|instinctive,deep-seated,gut|The photographs provoked a visceral response from viewers.|GRE Glance original development dataset
volatile|adj.|易变的；不稳定的|unstable,explosive,changeable|Prices remained volatile after the unexpected announcement.|GRE Glance original development dataset
waning|adj.|逐渐减弱的|diminishing,declining,fading|Waning public interest threatened the long-term project.|GRE Glance original development dataset
wary|adj.|谨慎警惕的|cautious,circumspect,guarded|Residents were wary of promises unsupported by a budget.|GRE Glance original development dataset
whimsical|adj.|异想天开的|fanciful,playful,quirky|Whimsical illustrations soften the book's serious theme.|GRE Glance original development dataset
zealous|adj.|热心积极的|fervent,ardent,enthusiastic|Zealous volunteers cataloged every item before the museum reopened.|GRE Glance original development dataset
